instructions,TQN,Question,category
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",1,Expressing my emotions with words is not a problem for me.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",2,I often find it difficult to see things from another person’s viewpoint.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",3,"On the whole, I’m a highly motivated person.",
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",4,I usually find it difficult to regulate my emotions.,self control
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",5,I generally don’t find life enjoyable.,wellbeing
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",6,I can deal effectively with people.,sociability
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",7,I tend to change my mind frequently.,self control
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",8,"Many times, I can’t figure out what emotion I'm feeling.",emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",9,I feel that I have a number of good qualities.,wellbeing
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",10,I often find it difficult to stand up for my rights.,sociability
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",11,I’m usually able to influence the way other people feel.,sociability
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",12,"On the whole, I have a gloomy perspective on most things.",wellbeing
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",13,Those close to me often complain that I don’t treat them right.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",14,I often find it difficult to adjust my life according to the circumstances.,
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",15,"On the whole, I’m able to deal with stress.",self control
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",16,I often find it difficult to show my affection to those close to me.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",17,I’m normally able to “get into someone’s shoes” and experience their emotions.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",18,I normally find it difficult to keep myself motivated.,
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",19,I’m usually able to find ways to control my emotions when I want to.,self control
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",20,"On the whole, I’m pleased with my life.",wellbeing
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",21,I would describe myself as a good negotiator.,sociability
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",22,I tend to get involved in things I later wish I could get out of.,self control
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",23,I often pause and think about my feelings.,emotionality
"Please answer each statement below by providing a score of 1 to 7 that best reflects your degree of agreement or disagreement with the provided statement. 
First provide the score and then a brief explanation of why you selected that score. Do not think too long about the exact meaning of the statements. 
Work quickly and try to answer as accurately as possible. There are no right or wrong answers. The seven possible scores are:
1. Completely Disagree
2. Strongly Disagree 
3. Weakly Disagree 
4. Neither Agree nor Disagree 
5. Weakly Agree 
6. Strongly Agree 
7. Completely Agree",24,I believe I’m full of personal strengths.,wellbeing
