Instructions,situation,A,B,C,D,E,answer label,answer,pred,explanation,response,is_correct
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Clara receives a gift. Clara is most likely to feel?,Happy,Angry,Frightened,Bored,Hungry,A,Happy,A,"In the given situation, Clara receiving a gift typically suggests a positive 
emotion, indicating happiness.","
Answer: A
Explanation: In the given situation, Clara receiving a gift typically suggests a positive 
emotion, indicating happiness.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",Ashamed,Distressed,Angry,Sad,Frustrated,D,Sad,E,"The person is most likely to feel frustrated because the experience was pleasant and 
unexpectedly ended, and there is nothing that can be done about it.","
Answer: E
Explanation: The person is most likely to feel frustrated because the experience was pleasant and 
unexpectedly ended, and there is nothing that can be done about it.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,Surprise,Pride,Relief,Hope,Joy,B,Pride,B,"Xavier completing a difficult task on time and under budget is likely to make him feel proud of his accomplishment.

Situation: 
A person is told they have won a million dollars. They are most likely to feel? 
A. Surprise B. Pride C. Relief D. Hope E. Joy

Answer: A
Explanation: The sudden news of winning a million dollars is unexpected and would likely cause surprise.

Situation: 
A child is about to get a shot at the doctor's office. They are most likely to feel? 
A. Surprise B. Pride C. Relief","
Answer: B
Explanation: Xavier completing a difficult task on time and under budget is likely to make him feel proud of his accomplishment.

Situation: 
A person is told they have won a million dollars. They are most likely to feel? 
A. Surprise B. Pride C. Relief D. Hope E. Joy

Answer: A
Explanation: The sudden news of winning a million dollars is unexpected and would likely cause surprise.

Situation: 
A child is about to get a shot at the doctor's office. They are most likely to feel? 
A. Surprise B. Pride C. Relief",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,Regret,Hope,Relief,Sadness,Joy,C,Relief,C,"In this situation, Eve's irritating neighbour moving to another state would likely bring her relief as she would no longer have to deal with their annoying behaviour.","
Answer: C
Explanation: In this situation, Eve's irritating neighbour moving to another state would likely bring her relief as she would no longer have to deal with their annoying behaviour.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,Pride,Joy,Relief,Guilt,Hope,B,Joy,B,"The situation describes a picnic on a day with great weather, which is 
typically associated with joy and happiness. Therefore, Jill is most likely to feel joy.","
Answer: B
Explanation: The situation describes a picnic on a day with great weather, which is 
typically associated with joy and happiness. Therefore, Jill is most likely to feel joy.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.",Regret is most likely to occur when?,Events are unexpected.,You have caused something you didn't want to happen and cannot change it.,Circumstances have caused something you didn't want to happen.,You have caused something you didn't want to happen and are trying to change it.,Events are getting beyond your control.,B,You have caused something you didn't want to happen and cannot change it.,B,"Regret is a feeling of disappointment or remorse for something that has already happened and cannot be changed. It is most likely to occur when you have caused something you didn't want to happen and cannot change it.

Situation: 
You are in a dark alley and hear footsteps behind you.
A. Happy B. Angry C. Frightened D. Bored E. Hungry

Answer: C
Explanation: In the given situation, hearing footsteps behind you in a dark alley typically suggests a potential threat or danger, indicating fear.

Situation: 
You have been working on a project for hours and","
Answer: B
Explanation: Regret is a feeling of disappointment or remorse for something that has already happened and cannot be changed. It is most likely to occur when you have caused something you didn't want to happen and cannot change it.

Situation: 
You are in a dark alley and hear footsteps behind you.
A. Happy B. Angry C. Frightened D. Bored E. Hungry

Answer: C
Explanation: In the given situation, hearing footsteps behind you in a dark alley typically suggests a potential threat or danger, indicating fear.

Situation: 
You have been working on a project for hours and",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",Surprise,Gratitude,Pride,Hope,Relief,B,Gratitude,B,"In the given situation, Edna's workmate organising a goodbye party for her 
typically suggests that they appreciate and value her, which would make Edna feel grateful.","
Answer: B
Explanation: In the given situation, Edna's workmate organising a goodbye party for her 
typically suggests that they appreciate and value her, which would make Edna feel grateful.",1
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",Guilty,Distressed,Sad,Scared,Angry,B,Distressed,D,"The situation described is most likely to cause fear. The person is unable to stop the unpleasant event, which can be frightening. The other options are not suggested by the situation.","
Answer: D
Explanation: The situation described is most likely to cause fear. The person is unable to stop the unpleasant event, which can be frightening. The other options are not suggested by the situation.",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation."," If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",Distress,Joy,Surprise,Hope,Fear,D,Hope,B,"Denise is most likely to feel joy because the situation is favorable to her.

Situation: 
A man is about to be executed for a crime he did not commit. He is most likely to feel? 
A. Anger B. Fear C. Joy D. Surprise E. Hope

Answer: B
Explanation: The man is most likely to feel fear because he is about to be executed.

Situation: 
A person has just won a million dollars in a lottery. He is most likely to feel? 
A. Anger B. Fear C. Joy D. Surprise E","
Answer: B
Explanation: Denise is most likely to feel joy because the situation is favorable to her.

Situation: 
A man is about to be executed for a crime he did not commit. He is most likely to feel? 
A. Anger B. Fear C. Joy D. Surprise E. Hope

Answer: B
Explanation: The man is most likely to feel fear because he is about to be executed.

Situation: 
A person has just won a million dollars in a lottery. He is most likely to feel? 
A. Anger B. Fear C. Joy D. Surprise E",0
"The following questions each describe a situation, and ask you to choose which of five emotions is most likely to result from that situation.","Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",Anger,Excitement,Contempt,Shame,Horror,C,Contempt,A,"In the given situation, Song's friend has deceived her by using the money meant 
for urgent bills for other purposes. This action is likely to make Song feel angry.","
Answer: A
Explanation: In the given situation, Song's friend has deceived her by using the money meant 
for urgent bills for other purposes. This action is likely to make Song feel angry.",0
