q-id,situation,model,ekman,complex,pred_score,exp_score,evaluator
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,1,1,evaluator-1
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,3,4,evaluator-2
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,1,1,evaluator-3
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,3,2,evaluator-4
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,2,2,evaluator-5
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,1,1,evaluator-6
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,1,1,evaluator-7
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,2,2,evaluator-8
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,3,2,evaluator-9
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,2,1,evaluator-10
13,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,gpt4,anger,dislike,2,4,evaluator-11
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,3,3,evaluator-1
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,3,2,evaluator-2
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,2,1,evaluator-3
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,1,1,evaluator-4
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,2,2,evaluator-5
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,1,1,evaluator-6
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,3,3,evaluator-7
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,2,2,evaluator-8
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,2,1,evaluator-9
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,2,2,evaluator-10
37," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",gemma,anger,contempt,3,4,evaluator-11
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-1
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-2
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-3
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,2,2,evaluator-4
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,2,evaluator-5
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-6
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-7
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-8
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,2,1,evaluator-9
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,1,1,evaluator-10
41,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,mixtral,happiness,pride,4,4,evaluator-11
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,1,1,evaluator-1
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,3,3,evaluator-2
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,3,1,evaluator-3
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,2,2,evaluator-4
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,1,1,evaluator-5
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,1,1,evaluator-6
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,1,1,evaluator-7
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,2,3,evaluator-8
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,2,1,evaluator-9
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,2,1,evaluator-10
29,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",llama,fear,scared,4,4,evaluator-11
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,2,2,evaluator-1
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,1,2,evaluator-2
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,2,3,evaluator-3
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,2,2,evaluator-4
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,2,2,evaluator-5
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,1,1,evaluator-6
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,1,1,evaluator-7
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,1,1,evaluator-8
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,1,1,evaluator-9
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,3,3,evaluator-10
12,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",llama,fear,scared,3,3,evaluator-11
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,2,2,evaluator-1
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,1,3,evaluator-2
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,1,4,evaluator-3
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,3,3,evaluator-4
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,3,2,evaluator-5
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,1,1,evaluator-6
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,1,1,evaluator-7
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,1,2,evaluator-8
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,3,4,evaluator-9
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,3,3,evaluator-10
27,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",mixtral,fear,scared,3,2,evaluator-11
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,2,evaluator-1
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,5,2,evaluator-2
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,3,evaluator-3
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,2,2,evaluator-4
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,1,evaluator-5
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,1,evaluator-6
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,3,evaluator-7
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,2,2,evaluator-8
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,2,2,evaluator-9
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,1,1,evaluator-10
38,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",mixtral,anger,contempt,4,3,evaluator-11
11,Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,gpt4,anger,distressed,1,1,evaluator-1
11,Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,gpt4,anger,distressed,5,5,evaluator-2
11,Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,gpt4,anger,distressed,1,1,evaluator-3
11,Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,gpt4,anger,distressed,1,1,evaluator-4
