situation,model,is_correct,ekman,complex,wellbeing,self_control,emotionality,sociability
"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",gemma,0,sadness,Sad,4.67,4.5,4.62,4.67
"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",gpt4,1,sadness,Sad,4.33,4.33,4.0,4.83
"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",llama,0,sadness,Sad,4.83,3.33,3.0,3.67
"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",mixtral,0,sadness,Sad,4.83,3.83,3.5,3.67
Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,gemma,1,happiness,Pride,4.67,4.5,4.62,4.67
Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,gpt4,1,happiness,Pride,4.33,4.33,4.0,4.83
Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,llama,1,happiness,Pride,4.83,3.33,3.0,3.67
Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,mixtral,1,happiness,Pride,4.83,3.83,3.5,3.67
An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,gemma,1,happiness,Relief,4.67,4.5,4.62,4.67
An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,gpt4,1,happiness,Relief,4.33,4.33,4.0,4.83
An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,llama,1,happiness,Relief,4.83,3.33,3.0,3.67
An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,mixtral,1,happiness,Relief,4.83,3.83,3.5,3.67
There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,gemma,1,happiness,Joy,4.67,4.5,4.62,4.67
There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,gpt4,1,happiness,Joy,4.33,4.33,4.0,4.83
There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,llama,1,happiness,Joy,4.83,3.33,3.0,3.67
There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,mixtral,1,happiness,Joy,4.83,3.83,3.5,3.67
Regret is most likely to occur when?,gemma,1,sadness,Regret,4.67,4.5,4.62,4.67
Regret is most likely to occur when?,gpt4,1,sadness,Regret,4.33,4.33,4.0,4.83
Regret is most likely to occur when?,llama,1,sadness,Regret,4.83,3.33,3.0,3.67
Regret is most likely to occur when?,mixtral,1,sadness,Regret,4.83,3.83,3.5,3.67
"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",gemma,1,happiness,Gratitude,4.67,4.5,4.62,4.67
"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",gpt4,1,happiness,Gratitude,4.33,4.33,4.0,4.83
"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",llama,1,happiness,Gratitude,4.83,3.33,3.0,3.67
"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",mixtral,1,happiness,Gratitude,4.83,3.83,3.5,3.67
"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",gemma,1,fear,Distressed,4.67,4.5,4.62,4.67
"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",gpt4,1,fear,Distressed,4.33,4.33,4.0,4.83
"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",llama,1,fear,Distressed,4.83,3.33,3.0,3.67
"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",mixtral,0,fear,Distressed,4.83,3.83,3.5,3.67
" If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",gemma,1,happiness,Hope,4.67,4.5,4.62,4.67
" If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",gpt4,1,happiness,Hope,4.33,4.33,4.0,4.83
" If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",llama,0,happiness,Hope,4.83,3.33,3.0,3.67
" If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",mixtral,0,happiness,Hope,4.83,3.83,3.5,3.67
"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",gemma,0,anger,Contempt,4.67,4.5,4.62,4.67
"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",gpt4,1,anger,Contempt,4.33,4.33,4.0,4.83
"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",llama,0,anger,Contempt,4.83,3.33,3.0,3.67
"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",mixtral,0,anger,Contempt,4.83,3.83,3.5,3.67
Somebody is most likely to feel surprised after?,gemma,1,surprise,Surprise,4.67,4.5,4.62,4.67
Somebody is most likely to feel surprised after?,gpt4,1,surprise,Surprise,4.33,4.33,4.0,4.83
Somebody is most likely to feel surprised after?,llama,1,surprise,Surprise,4.83,3.33,3.0,3.67
Somebody is most likely to feel surprised after?,mixtral,1,surprise,Surprise,4.83,3.83,3.5,3.67
