id,situ,a,b,c,d,e,pred_text_gemma,true_value,pred_text_llama,pred_text_mixtral
0,Clara receives a gift. Clara is most likely to feel?,Happy,Angry,Frightened,Bored,Hungry,a,a,a,a
1,"A pleasant experience ceases unexpectedly and there is not much that can be done about it. 
The person involved is most likely to feel?",Ashamed,Distressed,Angry,Sad,Frustrated,d,d,a,d
2,Xavier completes a difficult task on time and under budget. Xavier is most likely to feel?,Surprise,Pride,Relief,Hope,Joy,b,b,c,c
3,An irritating neighbour of Eve's moves to another state. Eve is most likely to feel?,Regret,Hope,Relief,Sadness,Joy,c,c,c,c
4,There is great weather on the day Jill is going on an out-door picnic. Jill is most likely to feel?,Pride,Joy,Relief,Guilt,Hope,b,b,b,b
5,Regret is most likely to occur when?,Events are unexpected.,You have caused something you didn't want to happen and cannot change it.,Circumstances have caused something you didn't want to happen. ,You have caused something you didn't want to happen and are trying to change it.,Events are getting beyond your control.,b,b,b,b
6,"Edna's workmate organises a goodbye party for Edna, who is going on holidays. Edna is most likely to feel?",Surprise,Gratitude,Pride,Hope,Relief,a,b,b,a
7,"Something unpleasant is happening. Neither the person involved, nor anyone else can make it stop. The person involved is most likely to feel?",Guilty,Distressed,Sad,Scared,Angry,b,b,a,a
8," If the current situation continues, Denise's employer will probably be able to move her job to a location much closer to her home, which she really wants. Denise is most likely to feel?",Distress,Joy,Surprise,Hope,Fear,d,d,d,a
9,"Song finds out that a friend of hers has borrowed money from others to pay urgent bills, but 
has in fact used the money for less serious purposes. Song is most likely to feel?",Anger,Excitement,Contempt,Shame,Horror,a,c,a,a
10,Somebody is most likely to feel surprised after?,Something unexpected happens,Something unfamiliar happens.,Something unusual happens. ,Something scary happens.,Something silly happens.,a,a,a,a
11,"Leya works as a trouble-shooter. She is presented with a standard looking problem but cannot 
work out how to solve it. Leya is most likely to feel?",Confused,Frustrated,Surprised,Relieved,Distressed,a,b,a,a
12,Charles is meeting a friend to see a movie. The friend is very late and they are not in time to make it to the movie. Charles is most likely to feel?,Depressed,Frustrated,Angry,Contemptuous,Distressed,b,c,b,c
13,"Rashid needs to meet a quota before his performance review. There is only a small change that he will be able to do so and there isn't much he can do to improve the outcome. 
Rashid is most likely to feel?",Irritated,Scared,Distressed,Sad,Hopeful,c,b,a,c
14,Someone believes that another person harmed them on purpose. There is not a lot that can be done to make things better. The person involved is most likely to feel?,Dislike,Rage,Jealousy,Surprise,Anxiety,b,a,a,b
15,Phil's workmate Bart asks Phil to lie for him about money Bart has been stealing from the company. Phil does not agree. Phil is most likely to feel?,Excitement,Anger,Horror,Contempt,Shame,a,d,d,b
16,"Jim enjoys spending Saturdays playing with his children in the park. This year they have sporting activities on Saturdays and cannot go to the park with him any more. Jim is most likely to feel?
",Angry,Sad,Frustrated,Distressed,Ashamed,b,b,c,b
17,"If all goes well, then it's fairly likely that Derek's house will increase in value. 
Derek is most likely to feel?",Distress,Fear,Surprise,Joy,Hope,a,e,a,d
18,Sheila's workmate intentionally does not give Sheila some important information about applying for a raise. Sheila is most likely to feel?,Depressed,Contemptuous,Frustrated,Angry,Distressed,c,d,c,d
19,Megan is looking to buy a house. Something happened and she felt regret. What is most likely to have happened?,"She didn't make an offer on a house she wanted, and now she is trying to find out if it is
too late. ",She found a house she liked that she didn't think she would find.,"She couldn't make an offer on a house she liked because the bank didn't get her the money
in time.",She didn't make an offer on a house she liked and now someone else has bought it. ,She made an offer on a house and is waiting to see if it is accepted.,a,d,d,d
20,"Mary was working at her desk. Something happened that caused her to feel surprised. 
What is most likely to have happened?",Her work-mate told a silly joke., She was working on a new task she hadn't dealt with before. ,She found some results that were different from what she thought they would be.,She realised she would not be able to complete her work. ,She had to do a task she didn't normally do at work. ,c,c,c,c
21,Garry's small business is attracting less and less clients and he can't tell why. There doesn't seem to be anything he can do to help matters. Garry is most likely to feel?,Scared,Angry,Sad,Guilty,Distressed,c,e,a,a
22,Someone thinks that another person has deliberately caused something good to happen to them. They are most likely to feel?,Hope,Pride,Gratitude,Surprise,Relief,c,c,c,c
23,"Kevin has been working at his current job for a few years. Out of the blue, he finds that he will receive a promotion. Kevin is most likely to feel?",Pride,Relief,Joy,Hope,Guilt,a,c,a,c
24,"By their own actions, a person reaches a goal they want to reach. The person is most likely to feel?",Joy,Hope,Relief,Pride,Surprise,a,d,a,d
25,"An unwanted situation becomes less likely or stops altogether. 
The person involved is most likely to feel?",Regret,Hope,Joy,Sadness,Relief,e,e,e,c
26,"Hasad tries to use his new mobile phone. He has always been able to work out how to use different appliances, but he cannot get the phone to function. Hasad is most likely to feel?",Distressed,Confused,Surprised,Relieved,Frustrated,a,e,a,e
27,Dorian's friend is ill and coughs all over him without bothering to turn away or cover his mouth. Dorian is most likely to feel?,Anxiety,Dislike,Surprise,Jealousy,Rage,b,b,a,a
28,"Although she has been careful to avoid all risk factors, Tina has contracted cancer. There is only a small chance that the cancer will be benign and nothing Tina does now can make a difference. Tina is most likely to feel?",Scared,Distressed,Irritated,Sad,Hopeful,a,a,a,a
29,Quan and his wife are talking about what happened to them that day. Something happened that caused Quan to feel surprised. What is most likely to have happened?,"His wife talked a lot, which did not usually happen.",His wife talked about things that were different to what they usually discussed.,His wife told him that she might have some bad news.,His wife told Quan some news that was not what he thought it would be.,His wife told a funny story.,a,e,a,a
30,"An upcoming event might have bad consequences. Nothing much can be done to alter this. 
The person involved would be most likely to feel?",Sad,Irritated,Distressed,Scared,Hopeful,a,d,a,c
31,It is clear that somebody will get what they want. They are most likely to feel?,Pride,Relief,Joy,Hope,Guilt,c,c,b,c
32,"By chance, a situation arises where there is the possibility that a person will get what they want. The person is most likely to feel?",Distress,Hope,Surprise,Joy,Fear,a,b,b,d
33,"A supervisor who is unpleasant to work for leaves Alfonso's work. 
Alfonso is most likely to feel?",Joy,Hope,Regret,Relief,Sadness,a,d,d,d
34,The nature of Sara's job changes due to unpredictable factors and she no longer gets to do the portions of her work that she most enjoyed. Sara is most likely to feel?,Ashamed,Sad,Angry,Distressed,Frustrated,b,b,d,c
35,Leila has been unable to sleep well lately and there are no changes in her life that might indicate why. Leila is most likely to feel?,Angry,Scared,Sad,Distressed,Guilty,a,d,d,d
36,A person feels they have control over a situation. The situation turns out badly for no particular reason. The person involved is most likely to feel?,Confused,Relieved,Surprised,Frustrated,Distressed,c,d,a,d
37,"Someone believes another person has deliberately caused something good to stop happening to them. However, they feel they can do something about it. They are most likely to feel?",Angry,Contemptuous,Distress,Depressed,Frustrated,e,a,c,a
38," The new manager at Enid's work changes everyone's hours to a less flexible work pattern, leaving no room for discussion. Enid is most likely to feel?",Dislike,Rage,Jealousy,Surprise,Anxiety,a,a,a,a
39,"Someone believes that another person has caused harm to them, due to that person's bad character. They think they can probably handle the situation though. The harmed person is most likely to feel?",Contempt,Anger,Horror,Excitement,Shame,a,a,a,b
40,"Pete gets home late, after his favourite TV show has ended. Pete's partner has taped the show for him. Pete is most likely to feel?",Surprise,Hope,Pride,Relief,Gratitude,e,e,e,d
41,Matthew has been at his current job for six months. Something happened that caused him to feel regret. What is most likely to have happened?,"He did not apply for a position he wanted, and has found out that someone else less qualified got the job.","He did not apply for a position he wanted, and has started looking for a similar position.",He found out that opportunities for promotion have dried up.,He found out that he didn't get a position he thought he would get. ,He didn't hear about a position he could have applied for and now it is too late. ,a,a,a,a
42,Penny's hockey team trained hard and won the championship. Penny is most likely to feel?,Hope,Pride,Relief,Joy,Surprise,d,b,b,d
