indx,ques,proc_res,num_res
1,Expressing my emotions with words is not a problem for me.,5. Weakly Agree,5
2,I often find it difficult to see things from another person’s viewpoint.,3. Weakly Disagree,3
3,"On the whole, I’m a highly motivated person.",6. Strongly Agree,6
4,I usually find it difficult to regulate my emotions.,3. Weakly Disagree,3
5,I generally don’t find life enjoyable.,3. Weakly Disagree,3
6,I can deal effectively with people.,6. Strongly Agree,6
7,I tend to change my mind frequently.,4. Neither Agree nor Disagree,4
8,"Many times, I can’t figure out what emotion I'm feeling.",3. Weakly Disagree,3
9,I feel that I have a number of good qualities.,6. Strongly Agree,6
10,I often find it difficult to stand up for my rights.,3. Weakly Disagree,3
11,I’m usually able to influence the way other people feel.,5. Weakly Agree,5
12,"On the whole, I have a gloomy perspective on most things.",3. Weakly Disagree,3
13,Those close to me often complain that I don’t treat them right.,3. Weakly Disagree,3
14,I often find it difficult to adjust my life according to the circumstances.,3. Weakly Disagree,3
15,"On the whole, I’m able to deal with stress.",6. Strongly Agree,6
16,I often find it difficult to show my affection to those close to me.,3. Weakly Disagree,3
17,I’m normally able to “get into someone’s shoes” and experience their emotions.,5. Weakly Agree,5
18,I normally find it difficult to keep myself motivated.,3. Weakly Disagree,3
19,I’m usually able to find ways to control my emotions when I want to.,6. Strongly Agree,6
20,"On the whole, I’m pleased with my life.",5. Weakly Agree,5
21,I would describe myself as a good negotiator.,6. Strongly Agree,6
22,I tend to get involved in things I later wish I could get out of.,4. Neither Agree nor Disagree,4
23,I often pause and think about my feelings.,5. Weakly Agree,5
24,I believe I’m full of personal strengths.,6. Strongly Agree,6
25,I tend to “back down” even if I know I’m right.,3. Weakly Disagree,3
26,I don’t seem to have any power at all over other people’s feelings.,3. Weakly Disagree,3
27,I generally believe that things will work out fine in my life.,6. Strongly Agree,6
28,I find it difficult to bond well even with those close to me.,3. Weakly Disagree,3
29,"Generally, I’m able to adapt to new environments.",6. Strongly Agree,6
30,Others admire me for being relaxed.,5. Weakly Agree,5
