indx,ques,proc_res,num_res
1,Expressing my emotions with words is not a problem for me.,5. Weakly Agree,5
2,I often find it difficult to see things from another person’s viewpoint.,2. Strongly Disagree,2
3,"On the whole, I’m a highly motivated person.",5. Weakly Agree,5
4,I usually find it difficult to regulate my emotions.,1. Completely Disagree,1
5,I generally don’t find life enjoyable.,1. Completely Disagree,1
6,I can deal effectively with people.,Strongly Agree,6
7,I tend to change my mind frequently.,Weakly Disagree,3
8,"Many times, I can’t figure out what emotion I'm feeling.",1. Completely Disagree,1
9,I feel that I have a number of good qualities.,Strongly Agree,6
10,I often find it difficult to stand up for my rights.,2. Strongly Disagree,2
11,I’m usually able to influence the way other people feel.,1. Completely Disagree,1
12,"On the whole, I have a gloomy perspective on most things.",1. Completely Disagree,1
13,Those close to me often complain that I don’t treat them right.,1. Completely Disagree,1
14,I often find it difficult to adjust my life according to the circumstances.,Weakly Disagree,3
15,"On the whole, I’m able to deal with stress.",5. Weakly Agree,5
16,I often find it difficult to show my affection to those close to me.,2. Strongly Disagree,2
17,I’m normally able to “get into someone’s shoes” and experience their emotions.,5. Weakly Agree,5
18,I normally find it difficult to keep myself motivated.,Weakly Disagree,3
19,I’m usually able to find ways to control my emotions when I want to.,5. Weakly Agree,5
20,"On the whole, I’m pleased with my life.",Strongly Agree,6
21,I would describe myself as a good negotiator.,5. Weakly Agree,5
22,I tend to get involved in things I later wish I could get out of.,5. Weakly Agree,5
23,I often pause and think about my feelings.,5. Weakly Agree,5
24,I believe I’m full of personal strengths.,Strongly Agree,6
25,I tend to “back down” even if I know I’m right.,2. Strongly Disagree,2
26,I don’t seem to have any power at all over other people’s feelings.,1. Completely Disagree,1
27,I generally believe that things will work out fine in my life.,Strongly Agree,6
28,I find it difficult to bond well even with those close to me.,2. Strongly Disagree,2
29,"Generally, I’m able to adapt to new environments.",5. Weakly Agree,5
30,Others admire me for being relaxed.,5. Weakly Agree,5
