indx,ques,proc_res,num_res
1,Expressing my emotions with words is not a problem for me.,5. Weakly Agree,5
2,I often find it difficult to see things from another person’s viewpoint.,[Your answer here],[Your answer here]
3,"On the whole, I’m a highly motivated person.",Please provide your response here.,Please provide your response here
4,I usually find it difficult to regulate my emotions.,[Your response here],[Your response here]
5,I generally don’t find life enjoyable.,Please provide your response here.,Please provide your response here
6,I can deal effectively with people.,5. Weakly Agree,5
7,I tend to change my mind frequently.,[Your answer here],[Your answer here]
8,"Many times, I can’t figure out what emotion I'm feeling.",[Your answer here],[Your answer here]
9,I feel that I have a number of good qualities.,Please provide your response here.,Please provide your response here
10,I often find it difficult to stand up for my rights.,[Your response here],[Your response here]
11,I’m usually able to influence the way other people feel.,Please provide your response here.,Please provide your response here
12,"On the whole, I have a gloomy perspective on most things.",[Your answer here],[Your answer here]
13,Those close to me often complain that I don’t treat them right.,Please provide your response here.,Please provide your response here
14,I often find it difficult to adjust my life according to the circumstances.,[Your response here],[Your response here]
15,"On the whole, I’m able to deal with stress.",5. Weakly Agree,5
16,I often find it difficult to show my affection to those close to me.,[Your response here],[Your response here]
17,I’m normally able to “get into someone’s shoes” and experience their emotions.,Please provide your response here.,Please provide your response here
18,I normally find it difficult to keep myself motivated.,[Your response here],[Your response here]
19,I’m usually able to find ways to control my emotions when I want to.,Please provide your response here.,Please provide your response here
20,"On the whole, I’m pleased with my life.",Please provide your response here.,Please provide your response here
21,I would describe myself as a good negotiator.,[Your answer here],[Your answer here]
22,I tend to get involved in things I later wish I could get out of.,Please provide your response here.,Please provide your response here
23,I often pause and think about my feelings.,[Your Answer Here],[Your Answer Here]
24,I believe I’m full of personal strengths.,Please provide your response here.,Please provide your response here
25,I tend to “back down” even if I know I’m right.,Please provide your response here.,Please provide your response here
26,I don’t seem to have any power at all over other people’s feelings.,Please provide your response here.,Please provide your response here
27,I generally believe that things will work out fine in my life.,Please provide your response here.,Please provide your response here
28,I find it difficult to bond well even with those close to me.,[Your response here],[Your response here]
29,"Generally, I’m able to adapt to new environments.",5. Weakly Agree,5
30,Others admire me for being relaxed.,Please provide your response here.,Please provide your response here
